,date,new_cases,Dia
0,2020-01-01,0.0,1
1,2020-01-02,0.0,2
2,2020-01-03,0.0,3
3,2020-01-04,0.0,4
4,2020-01-05,0.0,5
5,2020-01-06,0.0,6
6,2020-01-07,0.0,7
7,2020-01-08,0.0,8
8,2020-01-09,0.0,9
9,2020-01-10,0.0,10
10,2020-01-11,0.0,11
11,2020-01-12,0.0,12
12,2020-01-13,0.0,13
13,2020-01-14,0.0,14
14,2020-01-15,0.0,15
15,2020-01-16,0.0,16
16,2020-01-17,0.0,17
17,2020-01-18,0.0,18
18,2020-01-19,0.0,19
19,2020-01-20,0.0,20
20,2020-01-21,0.0,21
21,2020-01-22,0.0,22
22,2020-01-23,392.0,23
23,2020-01-24,1146.0,24
24,2020-01-25,1973.0,25
25,2020-01-26,2736.0,26
26,2020-01-27,3237.0,27
27,2020-01-28,10608.0,28
28,2020-01-29,2358.0,29
29,2020-01-30,8272.0,30
30,2020-01-31,6771.0,31
31,2020-02-01,8450.0,32
32,2020-02-02,18998.0,33
33,2020-02-03,12402.0,34
34,2020-02-04,16045.0,35
35,2020-02-05,14980.0,36
36,2020-02-06,12648.0,37
37,2020-02-07,14256.0,38
38,2020-02-08,10929.0,39
39,2020-02-09,12120.0,40
40,2020-02-10,10290.0,41
41,2020-02-11,8170.0,42
42,2020-02-12,1592.0,43
43,2020-02-13,60608.0,44
44,2020-02-14,26026.0,45
45,2020-02-15,8439.0,46
46,2020-02-16,8592.0,47
47,2020-02-17,7942.0,48
48,2020-02-18,7352.0,49
49,2020-02-19,1842.0,50
50,2020-02-20,2214.0,51
51,2020-02-21,2533.0,52
52,2020-02-22,7086.0,53
53,2020-02-23,1499.0,54
54,2020-02-24,2346.0,55
55,2020-02-25,3519.0,56
56,2020-02-26,4038.0,57
57,2020-02-27,5686.0,58
58,2020-02-28,5836.0,59
59,2020-02-29,7924.0,60
60,2020-03-01,10219.0,61
61,2020-03-02,8410.0,62
62,2020-03-03,11006.0,63
63,2020-03-04,10078.0,64
64,2020-03-05,12584.0,65
65,2020-03-06,17213.0,66
66,2020-03-07,18388.0,67
67,2020-03-08,18117.0,68
68,2020-03-09,19643.0,69
69,2020-03-10,22059.0,70
70,2020-03-11,35284.0,71
71,2020-03-12,26473.0,72
72,2020-03-13,67563.0,73
73,2020-03-14,51798.0,74
74,2020-03-15,52485.0,75
75,2020-03-16,69359.0,76
76,2020-03-17,74020.0,77
77,2020-03-18,90635.0,78
78,2020-03-19,125218.0,79
79,2020-03-20,141020.0,80
80,2020-03-21,147142.0,81
81,2020-03-22,157957.0,82
82,2020-03-23,192921.0,83
83,2020-03-24,184703.0,84
84,2020-03-25,230896.0,85
85,2020-03-26,282499.0,86
86,2020-03-27,290165.0,87
87,2020-03-28,310422.0,88
88,2020-03-29,253119.0,89
89,2020-03-30,287428.0,90
90,2020-03-31,337577.0,91
91,2020-04-01,361269.0,92
92,2020-04-02,359907.0,93
93,2020-04-03,367890.0,94
94,2020-04-04,241716.0,95
95,2020-04-05,304985.0,96
96,2020-04-06,315178.0,97
97,2020-04-07,293124.0,98
98,2020-04-08,359149.0,99
99,2020-04-09,374300.0,100
100,2020-04-10,364790.0,101
101,2020-04-11,318037.0,102
102,2020-04-12,545799.0,103
103,2020-04-13,300684.0,104
104,2020-04-14,364145.0,105
105,2020-04-15,334069.0,106
106,2020-04-16,414570.0,107
107,2020-04-17,373698.0,108
108,2020-04-18,324866.0,109
109,2020-04-19,325723.0,110
110,2020-04-20,314730.0,111
111,2020-04-21,319366.0,112
112,2020-04-22,344276.0,113
113,2020-04-23,347608.0,114
114,2020-04-24,339053.0,115
115,2020-04-25,344684.0,116
116,2020-04-26,295948.0,117
117,2020-04-27,292262.0,118
118,2020-04-28,314142.0,119
119,2020-04-29,316111.0,120
120,2020-04-30,342374.0,121
121,2020-05-01,362912.0,122
122,2020-05-02,325867.0,123
123,2020-05-03,305491.0,124
124,2020-05-04,314186.0,125
125,2020-05-05,327619.0,126
126,2020-05-06,372490.0,127
127,2020-05-07,363876.0,128
128,2020-05-08,370153.0,129
129,2020-05-09,342523.0,130
130,2020-05-10,307574.0,131
131,2020-05-11,312301.0,132
132,2020-05-12,343857.0,133
133,2020-05-13,345174.0,134
134,2020-05-14,389312.0,135
135,2020-05-15,389965.0,136
136,2020-05-16,381609.0,137
137,2020-05-17,316876.0,138
138,2020-05-18,358772.0,139
139,2020-05-19,392278.0,140
140,2020-05-20,413369.0,141
141,2020-05-21,431048.0,142
142,2020-05-22,431547.0,143
143,2020-05-23,421794.0,144
144,2020-05-24,381917.0,145
145,2020-05-25,348750.0,146
146,2020-05-26,375368.0,147
147,2020-05-27,417536.0,148
148,2020-05-28,482687.0,149
149,2020-05-29,489276.0,150
150,2020-05-30,552374.0,151
151,2020-05-31,429495.0,152
152,2020-06-01,385574.0,153
153,2020-06-02,488943.0,154
154,2020-06-03,456750.0,155
155,2020-06-04,531088.0,156
156,2020-06-05,528961.0,157
157,2020-06-06,539864.0,158
158,2020-06-07,454447.0,159
159,2020-06-08,408128.0,160
160,2020-06-09,502102.0,161
161,2020-06-10,545266.0,162
162,2020-06-11,553270.0,163
163,2020-06-12,521740.0,164
164,2020-06-13,543918.0,165
165,2020-06-14,534043.0,166
166,2020-06-15,476204.0,167
167,2020-06-16,570910.0,168
168,2020-06-17,583710.0,169
169,2020-06-18,568603.0,170
170,2020-06-19,725012.0,171
171,2020-06-20,634390.0,172
172,2020-06-21,518421.0,173
173,2020-06-22,555900.0,174
174,2020-06-23,672817.0,175
175,2020-06-24,696500.0,176
176,2020-06-25,718256.0,177
177,2020-06-26,772582.0,178
178,2020-06-27,719195.0,179
179,2020-06-28,662502.0,180
180,2020-06-29,617690.0,181
181,2020-06-30,708924.0,182
182,2020-07-01,873605.0,183
183,2020-07-02,843167.0,184
184,2020-07-03,815316.0,185
185,2020-07-04,791293.0,186
186,2020-07-05,737263.0,187
187,2020-07-06,658892.0,188
188,2020-07-07,841950.0,189
189,2020-07-08,859578.0,190
190,2020-07-09,903847.0,191
191,2020-07-10,935571.0,192
192,2020-07-11,874757.0,193
193,2020-07-12,780536.0,194
194,2020-07-13,765575.0,195
195,2020-07-14,886581.0,196
196,2020-07-15,928643.0,197
197,2020-07-16,1013242.0,198
198,2020-07-17,977318.0,199
199,2020-07-18,952753.0,200
200,2020-07-19,860405.0,201
201,2020-07-20,831123.0,202
202,2020-07-21,943877.0,203
203,2020-07-22,1126063.0,204
204,2020-07-23,1138998.0,205
205,2020-07-24,1135698.0,206
206,2020-07-25,1029216.0,207
207,2020-07-26,861215.0,208
208,2020-07-27,915666.0,209
209,2020-07-28,1006584.0,210
210,2020-07-29,1161925.0,211
211,2020-07-30,1131421.0,212
212,2020-07-31,1173368.0,213
213,2020-08-01,1010891.0,214
214,2020-08-02,929287.0,215
215,2020-08-03,841310.0,216
216,2020-08-04,1028356.0,217
217,2020-08-05,1123201.0,218
218,2020-08-06,1144574.0,219
219,2020-08-07,1150221.0,220
220,2020-08-08,1044655.0,221
221,2020-08-09,913210.0,222
222,2020-08-10,912781.0,223
223,2020-08-11,1059852.0,224
224,2020-08-12,1107534.0,225
225,2020-08-13,1175445.0,226
226,2020-08-14,1230427.0,227
227,2020-08-15,1012153.0,228
228,2020-08-16,869498.0,229
229,2020-08-17,848728.0,230
230,2020-08-18,1038431.0,231
231,2020-08-19,1124020.0,232
232,2020-08-20,1113015.0,233
233,2020-08-21,1066693.0,234
234,2020-08-22,1073051.0,235
235,2020-08-23,836958.0,236
236,2020-08-24,922021.0,237
237,2020-08-25,996187.0,238
238,2020-08-26,1145380.0,239
239,2020-08-27,1169260.0,240
240,2020-08-28,1158254.0,241
241,2020-08-29,1074537.0,242
242,2020-08-30,897808.0,243
243,2020-08-31,1073572.0,244
244,2020-09-01,1084297.0,245
245,2020-09-02,1157055.0,246
246,2020-09-03,1152015.0,247
247,2020-09-04,1286862.0,248
248,2020-09-05,1099367.0,249
249,2020-09-06,935902.0,250
250,2020-09-07,912097.0,251
251,2020-09-08,987393.0,252
252,2020-09-09,1169587.0,253
253,2020-09-10,1232060.0,254
254,2020-09-11,1321520.0,255
255,2020-09-12,1172640.0,256
256,2020-09-13,987968.0,257
257,2020-09-14,1093705.0,258
258,2020-09-15,1171810.0,259
